agent,density,scenario,seed,success_rate,safe_success_rate,collision_per_episode,avg_episode_length,avg_jerk,avg_min_dist,freezing_rate,num_episodes
SARL,17,random,42,0.9,0.28,3.17,40.05,0.046812759917742176,0.2658165242522955,0.05093632958801498,100
SARL,17,random,456,0.82,0.28,2.53,41.65,0.05272900602164699,0.2757285838574171,0.0885954381752701,100
SARL,17,random,9,0.93,0.26,2.97,38.33,0.04217397994141649,0.2585696159675717,0.027132794156013565,100
DS_RNN,17,random,10,0.99,0.32,2.93,33.19,0.055771026547761525,0.26829104468226433,0.0030129557095510697,100
DS_RNN,17,random,123,0.89,0.37,2.52,38.91,0.052862062315834034,0.27610369853675365,0.04317656129529684,100
DS_RNN,17,random,42,0.98,0.29,3.24,32.24,0.05418216944462925,0.25879081949591637,0.01457816377171216,100
DS_RNN,17,random,456,0.83,0.21,2.71,42.63,0.04011661933116079,0.2646034822613001,0.05536007506450856,100
DS_RNN,17,random,9,0.9,0.22,3.31,36.8,0.05783906718909509,0.26371117144823075,0.017934782608695653,100
LSTM_RL,17,random,10,1.0,0.8,0.4,32.71,0.32734901323833465,0.33169573187828066,0.004891470498318557,100
LSTM_RL,17,random,123,1.0,0.85,0.27,25.63,0.6344166561670774,0.34082036435604096,0.00351150994927819,100
LSTM_RL,17,random,42,1.0,0.8,0.41,25.6,0.5593435174206317,0.33552697151899336,0.00390625,100
LSTM_RL,17,random,456,1.0,0.87,0.31,27.13,0.5946858812517737,0.33522302001714704,0.0018429782528566164,100
LSTM_RL,17,random,9,1.0,0.86,0.26,25.75,0.5949232142952957,0.33743250340223313,0.002330097087378641,100
PSS_Social,19,random,10,0.99,0.91,0.16,37.56,0.46376501137892057,0.3394605876505375,0.006922257720979766,100
PSS_Social,19,random,123,0.97,0.92,0.09,37.39,0.5971852023769748,0.3414125753939152,0.004011767852366943,100
PSS_Social,19,random,42,1.0,0.95,0.1,28.32,0.5994324784788629,0.3447569112479687,0.005296610169491525,100
PSS_Social,19,random,456,0.98,0.97,0.02,36.68,0.45026750546971944,0.34540738523006437,0.004089422028353326,100
PSS_Social,19,random,9,0.98,0.93,0.13,40.12,0.4362608682048071,0.3485864621400833,0.009222333000997009,100
SFM,19,random,42,0.36,0.35,0.02,83.77,0.14496905527598591,0.3647191765904427,0.055867255580756836,100
SFM,19,random,123,0.31,0.3,0.05,84.9,0.1501995626854199,0.3618175084888935,0.06925795053003533,100
SFM,19,random,456,0.34,0.32,0.24,85.61,0.14711812304730296,0.3608754713833332,0.06003971498656699,100
SFM,19,random,9,0.3,0.29,0.12,87.74,0.13940890450286508,0.3662214556336403,0.06177342147253248,100
SFM,19,random,10,0.24,0.24,0.11,88.77,0.13763253844386836,0.35377581089735033,0.06274642334121888,100
ORCA,19,random,42,0.96,0.85,0.37,46.67,0.08320541402666126,0.3306756743788719,0.02421255624598243,100
ORCA,19,random,123,0.96,0.79,0.38,48.05,0.08427753572967563,0.32829897850751877,0.019979188345473464,100
ORCA,19,random,456,0.95,0.86,0.19,49.1,0.08021700165456022,0.3284634116292,0.018533604887983706,100
ORCA,19,random,9,0.99,0.88,0.21,49.72,0.07694453563616421,0.332334630638361,0.02091713596138375,100
ORCA,19,random,10,0.92,0.8,0.45,53.18,0.07541475384799311,0.32681252613663675,0.029522376833396015,100
